Source,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Hungary,60,45,25,36,28,297,2494,2340,4422,1842
China,1684,1798,1597,1473,1319,1424,1413,1516,1796,1665
United States,2777,3069,1484,1681,4168,4872,2230,1507,1367,860
Croatia,14,14,15,9,12,14,54,158,443,855
Pakistan,3444,758,608,603,367,381,404,498,877,816
India,1119,1145,855,816,648,677,517,551,708,708
North Korea,0,0,0,8,63,19,39,158,362,705
Nigeria,624,543,559,665,732,749,761,825,665,662
Colombia,1599,2289,843,1032,1812,2293,1949,1093,717,609
Slovakia,36,17,9,0,12,61,329,256,315,434
Haiti,204,193,353,561,2298,3254,1212,1960,515,395
Sri Lanka,1189,1073,823,828,774,951,805,960,581,383
Mexico,2608,2820,3415,4930,7137,9501,7627,1180,668,377
Saint Vincent and the Grenadines,428,353,455,438,407,554,696,726,708,351
Israel,534,417,288,492,414,330,355,200,199,187
Peru,560,499,170,150,147,171,126,91,86,91
Zimbabwe,54,90,393,402,174,239,183,42,38,44
Namibia,0,16,9,10,13,13,29,310,851,42
Guyana,636,290,256,280,134,136,103,68,56,35
Czech Republic,24,16,11,0,102,832,2083,42,29,33
Costa Rica,1836,694,88,57,38,37,44,29,21,7
Top 10 source countries,17516,14688,11032,13081,19709,25107,21270,12658,12779,9156
Other countries,15093,11448,9390,10718,9882,12845,12916,12284,13678,12076
Total,32609,26136,20422,23799,29591,37952,34186,24942,26457,21232
